nom;perissable;conservation;prix_revente_kilo;lieu_achat;lieu_vente
Orange;true;1737-08-07;2.45;Algeciras;Bordeaux
Orange;true;1702-04-12;2.39;Quebec;Louisbourg
Beurre;true;1766-11-17;7.63;Madrid;Immingham
Sel;false;;0.56;Le Havre;Shanghai
Sel;false;;0.59;Le Havre;Londres
Chandelles;false;;8.70;Calcutta;Kyoto
Parfum;true;1715-11-12;61.00;New York;Luanda
Parfum;true;1744-03-01;63.00;Pointe des Galets;Le Cap
Savons;false;;36.00;Marseilles;Dakar
Savons;false;;35.00;Port-au-Prince;Boston
Sucre;false;;0.85;Manilles;Tokyo
Rhum;false;;14.60;Londres;Georgetown
Cafe;false;;17.20;Bombay;Manilles
Cafe;false;;16.40;Vieux fort;Shanghai
Cafe;false;;16.00;Ziguinchor;Pondichery
Tabac;false;;47.30;Pointe a Pitre;Le Cap
Ail;true;1755-03-06;2.99;Shanghai;Tokyo
Oignon;true;1794-10-16;0.50;Quebec;Louisbourg
Cereales;true;1708-09-24;0.51;Mahe;Pondichery
Pates;true;1745-05-02;1.99;Marseilles;Pointe a Pitre
Riz;true;1708-05-24;1.88;Mahe;Madras
Farine;true;1769-07-10;0.89;Hambourg;Londres
Carotte;true;1768-03-30;0.66;Immingham;Bordeaux
Poireau;true;1769-04-22;3.12;Hambourg;Le Havre
Banane;true;1768-03-26;1.47;Immingham;Bordeaux
Kiwi;true;1755-07-20;3.05;Port-au-Prince;Fort-de-France
Poire;true;1766-09-22;2.15;Madrid;Sines
Pomme;true;1783-11-01;1.99;Maputo;Fort Dauphin
Pomme;true;1783-07-15;2.58;Luanda;Fort Dauphin
Mangue;true;1737-08-20;5.16;Lisbonne;Le Havre
Pomme de terre;true;1702-05-01;1.75;Quebec;Georgetown
Semoule;true;1781-11-01;0.99;Malabo;Namiba
Haricots;true;1702-04-17;5.40;Louisbourg;Georgetown
Feves;true;1786-09-20;1.35;Bombay;Batavia
Lentilles;true;1786-09-15;2.59;Bombay;Manilles
Petit pois;true;1709-06-12;15.96;Maputo;Batavia
Chou rouge;true;1769-03-14;3.63;Immingham;Madrid
Chou-fleur;true;1745-08-06;6.82;Lisbonne;Pointe a Pitre
Choux de Bruxelles;true;1706-06-01;0.50;Marseilles;Lisbonne
Laitue;true;1769-04-23;5.50;Hambourg;Le Havre
