id_produit;id_voyage;quantite_prod
1;24;120
2;15;130
3;13;90
4;12;140
5;34;140
6;16;40
7;10;40
8;25;50
9;2;60
10;38;50
11;16;200
12;8;140
13;14;80
14;12;150
15;19;200
16;10;150
17;16;90
18;6;120
19;37;300
20;9;200
21;37;130
22;34;200
23;3;240
24;34;120
25;3;230
26;29;170
27;13;170
28;20;230
29;20;230
30;24;150
31;15;300
32;30;200
33;15;220
34;14;150
35;14;180
36;19;180
37;3;140
38;9;215
39;2;90
40;34;210
41;30;300
42;3;290
43;13;300
44;29;180
45;30;210
46;15;230
47;3;210
48;15;200
49;9;300
50;10;320
51;16;250
52;16;270
53;2;120
54;9;70
55;1;20
56;1;20
57;1;20
58;1;20
59;1;20
60;1;20
61;1;20
62;1;20
63;1;20
64;1;20
65;1;20
66;1;20
67;1;20
68;1;20
69;1;20
70;1;20
71;1;20
72;1;20
73;1;20
74;1;20
75;1;20
76;1;20
77;1;20
78;1;20
79;1;20
80;1;20
81;1;20
82;1;20
83;1;20
84;1;20
85;1;20
86;1;20
87;1;20
88;1;20
89;1;20
90;1;20
91;1;20
92;1;20
93;1;20
94;1;20
95;1;20
96;1;20
97;1;20
98;1;20
99;51;20
100;52;20
101;53;20
102;54;20
103;55;20
104;56;20
105;57;20
106;58;20
107;59;20
108;60;20
109;61;20
110;62;20
111;51;20
112;52;20
113;53;20
114;54;20
115;55;20
116;56;20
117;57;20
118;58;20
119;59;20
120;60;20
121;61;20
122;62;20
